Ticker,Last Close,HMM State,MA10 Gap,MA50 Gap,RSI,MACD > Signal,MACD Hist > 0,Date
MSFT,$487.48,Bull (Low Vol),+0.63%,-1.86%,50.1,True,True,2025-12-31
AAPL,$273.08,Bull (Low Vol),+0.04%,+0.25%,48.4,False,False,2025-12-31
GOOGL,$313.85,Bull (Low Vol),+1.50%,+6.27%,58.0,False,False,2025-12-31
NVDA,$187.54,Bull (Low Vol),+2.39%,+0.68%,54.8,True,True,2025-12-31
TSLA,$454.43,Bull (Low Vol),-4.74%,+2.11%,48.5,False,False,2025-12-31
TSM,$299.58,Bull (Low Vol),+2.25%,+2.62%,55.8,True,True,2025-12-31
META,$665.95,Bull (Low Vol),+0.72%,+1.69%,55.6,True,True,2025-12-31
AVGO,$349.85,Bull (Low Vol),+2.08%,-3.13%,45.9,False,False,2025-12-31
ORCL,$197.21,Bull (Low Vol),+2.67%,-12.04%,44.0,True,True,2025-12-31
AMZN,$232.53,Bull (Low Vol),+1.63%,+0.60%,55.2,True,True,2025-12-31
MU,$292.63,Bull (Low Vol),+9.07%,+22.78%,68.4,True,True,2025-12-31
AMD,$215.34,Bull (Low Vol),+1.93%,-5.74%,48.9,True,True,2025-12-31
MSFT,$472.94,Bear (High Vol),-2.46%,-4.50%,37.4,True,True,2026-01-02
AAPL,$271.01,Neutral (Choppy),-0.59%,-0.64%,43.8,False,False,2026-01-02
GOOGL,$315.15,Neutral (Choppy),+1.11%,+5.84%,59.0,False,False,2026-01-02
NVDA,$188.85,Bull (Low Vol),+1.63%,+1.26%,56.1,True,True,2026-01-02
TSLA,$438.07,Bull (Low Vol),-6.82%,-1.56%,42.4,False,False,2026-01-02
TSM,$319.61,Neutral (Choppy),+6.91%,+9.23%,68.1,True,True,2026-01-02
META,$650.41,Bull (Low Vol),-1.69%,-0.22%,47.5,True,True,2026-01-02
AVGO,$347.62,Neutral (Choppy),+0.61%,-3.76%,45.1,False,False,2026-01-02
ORCL,$195.71,Bull (Low Vol),+0.65%,-11.43%,43.3,True,True,2026-01-02
AMZN,$226.50,Neutral (Choppy),-1.59%,-2.17%,44.9,True,True,2026-01-02
MU,$315.42,Bear (High Vol),+11.61%,+30.24%,72.0,True,True,2026-01-02
AMD,$223.47,Bull (Low Vol),+4.28%,-1.83%,56.4,True,True,2026-01-02
MSFT,$472.85,Bull (Low Vol),-2.25%,-4.33%,37.3,False,False,2026-01-05
AAPL,$267.26,Neutral (Choppy),-1.79%,-2.08%,36.7,False,False,2026-01-05
GOOGL,$316.54,Neutral (Choppy),+1.10%,+5.84%,60.3,False,False,2026-01-05
NVDA,$188.12,Bull (Low Vol),+0.48%,+0.78%,55.0,True,True,2026-01-05
TSLA,$451.67,Bull (Low Vol),-3.27%,+1.44%,48.4,False,False,2026-01-05
TSM,$322.25,Bull (Low Vol),+6.46%,+9.88%,69.4,True,True,2026-01-05
